et	de	en	lt	lv
"Ebaühtlane kulumine, nagu nt liistul, ühe serva kulumine (sees- või väljaspool) või ükskõik milline ebatavaline kulumine osutab sellele, et on viga rataste joonduses, mitte ainult rehvirõhus."	"Ungleicher Verschleiß wie etwa der Verschleiß der Feder, Verschleiß einer einzelnen Kante oder Ecke oder jeder andere anormale Verschleiß ist ein Zeichen dafür, dass ein Problem der Achsvermessung besteht, nicht nur des Reifendrucks."	"Uneven wear such as feather wear, one side edge wear (inside or outside) or any other abnormal wear, indicates that there is a problem with the wheel alignment, not just with the tire pressure."	"Netolygus dėvėjimasis, pavyzdžiui, šoninis, vieno krašto (tiek vidinio, tiek išorinio) dėvėjimasis arba bet koks kitoks neįprastas dėvėjimasis, įspėja, kad blogas ne tik padangos slėgis, bet ir ratų sureguliavimas."	"Nevienāds nodilums, piemēram, nodilums ar plaisājumiem, nodilums viena sāna malā (iekšpusē vai ārpusē), vai jebkurš cits nestandarta nodilums liecina, ka ir problēmas ar riteņu regulējumu, ne tikai ar spiedienu riepās."
Universaalliigend	Kardangelenk	Universal Joint	Kardaninis lankstas	Kardāns
"Kasutage numbritega mõõdikut, et mõõta plaadi väljaliikumist."	"Verwenden Sie eine Messuhr, um das Auslaufen der Scheibe zu messen."	Use a dial gauge to measure disc run-out.	Disko mušimui išmatuoti naudokite indikatorių.	"Izmantojiet ciparnīcas indikatoru, lai izmērītu diska nolietojumu."
Piduripedaali kõrguse mõõtmiseks tuleb kasutada joonlauda.	Verwenden Sie ein Lineal zur Messung der Höhe des Bremspedals.	Use a ruler to measure the brake pedal height.	Stabdžio pedalo aukštį išmatuokite liniuote.	"Izmantojiet lineālu, lai izmērītu pedāļa augstumu."
Jäätumise vältimiseks kasutage jahutusvedeliku ja vee sobiva kontsentratsiooniga segu.	"Mischen Sie das Kühlmittel in der angemessenen Konzentration mit Wasser, damit es nicht gefriert."	Use the coolant mixed with water in the appropriate concentration to make sure it does not freeze.	"Naudokite tinkamos koncentracijos aušalo ir vandens mišinį, kad jis neužšaltų."	"Izmantojiet dzesēšanas šķidrumu, kas sajaukts ar ūdeni atbilstošajā koncentrācijā, lai pārliecinātos, ka tas nesasalst."
kasutage mõõteriistu ainult ettenähtud tegevusteks	nutzen Sie das Messinstrument nur für seinen vorgesehenen Zweck	use the measuring instrument only for its purpose	matavimo instrumentą naudokite tik jam numatyta paskirtimi.	izmantojiet mērinstrumentu tikai paredzētajam mērķim.
"Kasutage õiget lampi, sest lambid võivad olla erineva võimsuse, pinge ja rakendusega."	"Verwenden Sie die richtige Birne, denn Birnen unterscheiden sich in Leistung, Spannung und in der Anwendung."	"Use the proper bulb because bulbs vary by power, voltage and by application."	"Naudokite tinkamą lemputę, nes jų galia, įtampa ir paskirtis gali skirtis."	"Izmantojiet pareizo spuldzi, jo spuldzes atšķiras pēc jaudas, sprieguma un pielietojuma veida."
Kasutatud on õhupuhastit	Verwendeter Luftreinigereinsatz	Used air cleaner element	Naudotas oro filtro elementas	Lietots gaisa filtra elements
Kasutatakse ühendusosana nelikantühenduse suuruse muutmiseks.	Als Verbindungsstück zur Veränderung der Größe des Vierkantantriebs des Steckers verwendet 	Used as a connector to change the size of the socket square drive.	"Naudojamas kaip jungtis, skirta lizdinio kvadratinio atsuktuvo dydžiui pakeisti."	"Izmanto kā savienotājelementu, lai mainītu galatslēgas četrstūrainā uzgaļa izmēru."
Kasutatud juhtme täpseks lõikamiseks.	Zum Schneiden dünnen Drahts verwendet.	Used for cutting fine wire.	Naudojama plonai vielai atkirpti.	Izmanto smalku stiepļu griešanai.
"Kasutatakse mutrite ja poltide kiireks eemaldamiseks ja vahetamiseks, kui pole vaja suurt väändejõudu."	"Verwendung zum schnellen Entfernen und Austauschen von Muttern und Schrauben, die kein großes Drehmoment erfordern."	Used for the quick removing and replacing of nuts and bolts that do not require a large torque.	"Naudojamas greitai išsukti ar pakeisti veržles ar varžtus, kurie nereikalauja didelio sukimo momento."	"Izmanto, lai ātri atskrūvētu un nomainītu uzgriežņus un skrūves ar nelielu pievilkšanas spēku."
Täiendavate pingutus- jms toimingute kasutamisel võidakse mutrile või poldile rakendada suurt pingutusmomenti.	"Verwendet beim zusätzlichen Befestigen und ähnlichen Aufgaben, da es ein großes Drehmoment auf Mutter oder Schraube ausüben kann."	Used in additional tightening and similar operations as it can apply a large torque to the nut or bolt.	"Naudojamas papildomai užveržti ir panašiems darbams, nes gali taikyti didelį sukimo momentą veržlei arba varžtui."	"Izmanto papildu pievilkšanai un līdzīgām darbībām, jo ar to uzgrieznim vai skrūvei var pielikt lielu pievilkšanas spēku."
Kasutatakse rehvimustri mõõtmiseks jne.	Verwendung zum Messen konvexer / konkaver Muster von Reifen usw.	Used to measure convex / concave patterns of tires etc.	Naudojamas pamatuoti padangos rašto išgaubtumui / įgaubtumui ir kitiems parametrams.	"Izmanto, lai izmērītu riepu izliekumus / ieliekumus utt."
Kasutatakse osade mõõtmiseks piiratud ruumis.	Zur Vermessung von Teilen auf beschränktem Raum verwendet.	Used to measure parts in a confined space.	Naudojama dalims matuoti apribotoje erdvėje.	"Izmanto, lai izmērītu detaļas ierobežotā vietā."
Mõõtke piduri hõõrdkatet joonlauaga.	Messen Sie den Bremsbelag mithilfe eines Lineals.	"Using a ruler, measure the thickness of the brake lining."	Stabdžių trinkelės antdėklo storį pamatuokite liniuote.	"Izmantojot lineālu, izmēriet bremžu uzliku biezumu."
SST-d kasutades vahetage kütusefilter tihendiga välja.	Entfernen Sie den Kraftstofffilter mit der Dichtung mithilfe von SST.	"Using SST, remove the fuel filter with the gasket."	"Išimkite degalų filtrą ir tarpiklį, naudodami tam numatytą įrankį."	"Izmantojot SST, noņemiet degvielas filtru ar blīvi."
V13 Korrapärane hooldus 5	V13 Regelmäßige Wartung 5	V13 Periodic Maintenance 5	V13 Periodinė techninė priežiūra 5	V13 Periodiskā apkope 5
V3 Põhiteenindustööd	V3 Grundlegende Serviceleistungen	V3 Basis Service Operations	V3 Bazinės techninės priežiūros operacijos	V3 Pamatapkopes darbības
V4 Tööohutus	V4 Arbeitssicherheit	V4 Work Safety	V4 Darbo sauga	V4 Darba drošība
V6 Mutrid ja poldid	V6 Muttern & Schrauben	V6 Nuts & Bolts	V6 Veržlės ir varžtai	V6 Uzgriežņi un skrūves
Pidurivõimendi vaakumpump (ainult diiselmootorid)	Vakuumpumpe für Bremskraftverstärker (nur Dieselmotoren)	Vacuum pump for brake booster (Diesel engines only)	Vakuuminis siurblys stabdžių stiprintuvui (tik dyzeliniams varikliams)	Vakuumsūknis bremžu pastiprinātājam (tikai dīzeļdzinējiem)
Vaakumpump võib olla kinni jäänud	Das Vakuumventil könnte klemmen	Vacuum valve could be stuck	Vakuuminis vožtuvas gali būti užstrigęs	Vakuumvārsts var būt iestrēdzis
"Klapi puhtus tagab klapi avanemise ja sulgumise õigel ajal, isegi kui iga osa kuumusega paisub."	"Durch das Ventilspiel wird das richtige Timing zum Öffnen und Schließen des Ventils ermöglicht, auch wenn jedes Teil sich bei Hitze ausdehnt."	Valve clearance ensures the proper timing of valve opening and closing even if each part expands by heat.	"Vožtuvo tarpas užtikrina tinkamą vožtuvo atidarymo ir uždarymo laiką, net jei kiekviena detalė išsiplečia dėl karščio."	"Vārstu siltumatstarpe nodrošina to, ka vārsti atveras un aizveras pareizajā laikā, pat ja katra detaļa izplešas karstuma ietekmē."
"Gaasimullid pidurisüsteemis imavad hüdraulilise pidurijõu, mis rakendatakse rattasilindritele, mis omakorda põhjustab üldise pidurivõimsuse languse."	"Dampfblasen im Bremssystem absorbieren die Kraft der Hydraulikbremse, die auf die Radbremszylinder wirkt und einen Ausfall aller Bremsen herbeiführt."	"Vapour bubbles in the brake system absorb the hydraulic brake force applied to the wheel cylinders, creating a loss of braking altogether."	"Garų burbulai stabdžių sistemoje sugeria hidraulinę stabdymo jėgą, skirtą ratų cilindrams, ir dėl to visiškai sutrinka stabdymas."	"Tvaika burbuļi bremžu sistēmā absorbē hidrauliskās bremzes spēku, kas tiek piemērots riteņu cilindriem, pazeminot bremzēšanas efektivitāti kopumā."
"Sõiduki ettevalmistamine enne paigaldusetappi sisenemist: Istmekatted Põrandamatid Roolikate Seejärel juhtige sõiduk ettevaatlikult tööalasse, jälgides sõiduki käitumist ja kontrollides süsteemi hoiatustulede süttimist mõõdikutel."	Fahrzeug Vorbereitung Vor dem Betreten des Fahrzeugs bringen Sie folgende Dinge an: Sitzbezüge Fußmatte Lenkradabdeckung Fahren Sie das Fahrzeug dann vorsichtig an die Arbeitsstätte. Prüfen Sie dabei bereits das Fahrzeugverhalten und die Beleuchtung der Warnleuchten des Systems im Kombiinstrument.	"Vehicle Preparation Before entering a vehicle install: Seat covers Floor mats Steering wheel cover Then drive the vehicle carefully to the work bay, already monitoring the vehicle’s behaviour and checking the illumination of system warning lights in the combination meter."	"Transporto priemonės parengimas Prieš lipdami į transporto priemonę, sudėkite sėdynių apmušalus, kilimėlius, vairaračio dangą. Tada, stebėdami, kaip veikia transporto priemonė, atsargiai nuvarykite į darbo barą ir patikrinkite sistemos įspėjimo lemputes ir prietaisų skydelio apšvietimą."	"Transportlīdzekļa sagatavošana Pirms iekāpšanas transportlīdzeklī uzstādiet: Sēdekļus pārsegus Grīdas paklājus Stūres apvalku Tad uzmanīgi vadiet transportlīdzekli līdz darba vietai, jau vērojot transportlīdzekļa izturēšanos un pārbaudot kontrolmērinstrumentu paneļa brīdinājuma lampiņu izgaismojumu."
"Sõidukeid, mida kasutatakse temperatuuril alla -15°C, saab teenindada tavapärase hooldusintervalli alusel."	"Fahrzeuge in Klimazonen, in denen die Temperatur regelmäßig unter -15°C liegt, können gemäß den normalen Wartungsintervallen gewartet werden."	Vehicles in climates with temperatures frequently below -15°C can be serviced according to normal service intervals.	"Automobiliai naudojami aplinkoje, kurioje temperatūra dažnai nukrenta žemiau -15°C, gali būti prižiūrimi įprastiniais techninės apžiūros intervalais."	"Transportlīdzekļu apkopi klimata apstākļos, kuros temperatūra bieži ir zemāka par -15°C, var veikt saskaņā ar parastajiem apkopes intervāliem."
Sõidukid tuleb üles tõsta suletud ustega.	Beim Heben eines Fahrzeugs müssen die Türen geschlossen sein.	Vehicles must be lifted with their doors closed.	Transporto priemonės turi būti pakeliamos uždarytomis durimis.	Transportlīdzekļi jāpaceļ ar aizvērtām durvīm.
"Sõidukeid , mida kasutatakse sageli tolmustel, konarlikel või poristel teedel, hooldatakse vastavalt tavapärasele hooldusvälbale."	"Fahrzeuge, die häufig auf staubigen, holprigen oder schlammigen Straßen eingesetzt werden, können nach den normalen Wartungsintervallen gewartet werden."	"Vehicles that are frequently used on dusty, rough, or muddy roads can be serviced according to normal service intervals."	"Transporto priemonės, kurios dažnai naudojamos dulkėtuose, duobėtuose arba purvinuose keliuose, techninę priežiūrą galima atlikti įprastais techninės priežiūros intervalais."	"To transportlīdzekļu apkopi, kurus bieži izmanto uz putekļainiem, nelīdzeniem vai dubļainiem ceļiem, var veikt saskaņā ar parastajiem apkopes intervāliem."
Nooniuse pidurisadul	Messschieber	Vernier Caliper	Slankmatis	Bīdmērs
"Nooniusnihkkaliiber Nooniusnihkkaliibrit saab kasutada pikkuse mõõtmiseks väljas- ja seespool diameetrit ning sügavuse mõõtmiseks 0,05 mm täpsusega."	"Messschieber Der Messschieber kann mit einer Präzision von 0,05 mm zur Messung von Längen, des Außendiameters, des Innendiameters und der Tiefe verwendet werden."	"Vernier Caliper The Vernier Caliper can be used for measuring length, outside diameter, inside diameter and depth with a precision of 0.05mm."	"Slankmatis Slankmačiu galima pamatuoti ilgį, išorinį skersmenį, vidinį skersmenį ir gylį su 0.05mm paklaida."	"Bīdmērs Bīdmēru var izmantot, lai izmērītu garumu, ārējo diametru, iekšējo diametru un dziļumu ar precizitāti 0,05 mm."
Nooniuse skaala	Noniusskala	Vernier scale	Nonijaus skalė	Noniusa skala
"Peatükk 8 koosneb mitmetest osadest. Iga rühm arutab olulisemaid põhiteadmisi, mis on tähtsad perioodilise hoolduse vajaduse arusaamiseks: Tõsteasend 1 Tõsteasend 2 Tõsteasend 3 Tõsteasend 4 Tõsteasend 5 Tõsteasend 7 Märkus: teenuseosi tõsteasenditel 6, 8 ja 9 arutatakse koos teenuseosadega tõsteasenditele 1, 3 ja 4."	"Ausgabe 8 ist in verschiedene Gruppen unterteilt. In jeder Gruppe werden die relevanten Grundkenntnisse besprochen, die zum Verständnis der regelmäßigen Wartung nötig sind. Hebeposition 1 Hebeposition 2 Hebeposition 3 Hebeposition 4 Hebeposition 5 Hebeposition 7 Hinweis: In dieser Ausgabe werden die Serviceleistungen für Hebepositionen 6, 8 und 9 erläutert sowie die Serviceleistungen für Hebeposition 1, 3 und 4."	"Volume 8 is split up into different groups. Each group will discuss the relevant basic knowledge necessary to understand the need for periodic maintenance: Lift Position 1 Lift Position 2 Lift Position 3 Lift Position 4 Lift Position 5 Lift Position 7 Note: The service items for lift positions 6, 8 and 9 are discussed in this volume together with the service items for lift position 1, 3 and 4."	"8 skyrius yra suskirstytas į skirtingas grupes. Kiekviena grupė aptars aktualias elementarias žinias, kurios yra būtinos, kad suprastume, kam reikalinga periodinė techninė priežiūra: Keltuvo padėtis 1 Keltuvo padėtis 2 Keltuvo padėtis 3 Keltuvo padėtis 4 Keltuvo padėtis 5 Keltuvo padėtis 7 Pastaba: Techninės priežiūros veiksmai, skirti keltuvo padėtims 6, 8 ir 9, šiame skyriuje yra aptariami kartu su techninės priežiūros veiksmais, skirtais keltuvo padėtims 1, 3 ir 4."	"8. sējums ir iedalīts dažādās grupās. Katrā grupā ir aprakstītas atbilstošās pamatzināšanas, kas vajadzīgas, lai izprastu nepieciešamību veikt periodisko apkopi: Celšanas pozīcija 1 Celšanas pozīcija 2 Celšanas pozīcija 3 Celšanas pozīcija 4 Celšanas pozīcija 5 Celšanas pozīcija 7 Piezīme. Apkopes elementi attiecībā uz celšanas pozīcijām 6, 8 un 9 ir aprakstīti šajā sējumā kopā ar apkopes elementiem attiecībā uz celšanas pozīcijām 1, 3 un 4."
Ohutuled	Warnleuchten	Warning Lights	Įspėjimo lemputės	Brīdinājuma lampiņas
"Hoiatustuled. Hoiatustuli põleb või vilgub, kui süsteemis on tekkinud rike, on vaja lisada kütust või vahetada osi, või et aidata juhil ohutult sõita."	"Warnleuchten Eine Warnleuchte leuchtet auf oder blinkt, wenn in einem System ein Problem auftritt, wenn das Auffüllen von Flüssigkeiten oder der Austausch von Teilen nötig ist oder um dem Fahrer beim sicheren Fahren zu helfen."	"Warning Lights A warning light illuminates or flashes when trouble occurs in a system, fluid replenishment or parts replacement is required, or to help the driver drive safely."	"Įspėjimo lemputės Įspėjimo lemputė užsidega arba mirksi, kaip sistemoje yra klaidų, reikia papildyti skysčius ar pakeisti detales arba padėti saugiai vairuoti."	"Brīdinājuma lampiņas Brīdinājuma lampiņas deg vai mirgo, kad rodas defekts sistēmā, ir jāatjauno šķidruma līmenis vai jānomaina detaļas, vai arī palīdz vadītājam braukt droši."
